# idx_orig bit_orig post_llr hard
874 1 21690.59186783 1
875 1 27537.43098934 1
876 1 24599.64418265 1
877 0 -21325.86793972 0
878 1 19846.27426318 1
879 1 23478.95015300 1
880 0 -23938.82353412 0
881 0 -23882.60635883 0
882 1 23334.80897929 1
883 0 -29110.17605777 0
884 1 20757.02813508 1
885 1 16171.12373500 1
886 0 -24231.55563463 0
887 1 23166.50086637 1
888 0 -17003.32676771 0
889 1 22425.88812357 1
890 0 -26905.76781119 0
891 0 -20580.61713651 0
892 0 -15076.78200704 0
893 1 19733.91301275 1
894 1 26542.40380541 1
895 0 -16668.89661371 0
896 1 19147.89412797 1
897 1 21392.49913080 1
898 0 -23448.87978372 0
899 0 -15431.59549024 0
900 1 24365.85829291 1
901 1 22555.68455729 1
902 0 -25324.22154402 0
903 0 -23077.80845084 0
904 1 23683.25640909 1
905 1 29626.97472615 1
906 1 29641.60420968 1
907 0 -20068.69948157 0
908 1 28020.40465792 1
909 0 -30124.54366179 0
910 0 -26289.32771164 0
911 0 -24327.40354014 0
912 1 29536.90767850 1
913 1 24610.45713503 1
914 1 25678.84461111 1
915 0 -29858.30684536 0
916 0 -29212.72447474 0
917 1 31826.33380050 1
918 0 -32396.41528333 0
919 0 -26372.49048260 0
920 0 -32326.46967597 0
921 0 -28206.86545793 0
922 0 -35907.03759824 0
923 1 24465.79056826 1
924 1 26049.90353754 1
925 0 -29372.77595974 0
926 1 27355.34034752 1
927 1 27367.32512062 1
928 1 30269.54856421 1
929 0 -32561.14359920 0
930 1 29818.86346622 1
931 0 -30454.85536199 0
932 0 -31114.18352768 0
933 0 -27513.89466059 0
934 0 -16295.32249296 0
935 0 -21480.40358704 0
936 1 32260.55980385 1
937 0 -22404.68685707 0
938 1 31270.25275660 1
939 0 -31147.85733884 0
940 1 24792.46647803 1
941 0 -19167.94853478 0
942 1 28976.63490128 1
943 1 32158.96183485 1
944 1 25373.95873980 1
945 1 26581.27660522 1
946 1 33223.94650008 1
947 1 19210.16480504 1
948 0 -19657.32718999 0
949 0 -18161.72952777 0
950 0 -25736.10455766 0
951 0 10408.50763040 1
952 0 -25437.88923466 0
